  Combined_BIBDs:        Total #:   Simple #:        Run Time:      Date:       Comments:
(  6,  3, { 2, 2})             2            2             0.00   Nov 19, 2023
(  6,  3, { 4, 2})            12            1             0.00   Nov 19, 2023
(  6,  3, { 4, 4})            24            1             0.00   Nov 19, 2023
(  6,  3, { 2, 2, 2})             5            5             0.00   Nov 19, 2023
(  6,  3, { 4, 2, 2})            43            2             0.00   Nov 19, 2023
(  6,  3, { 4, 4, 2})           131            1             0.01   Nov 19, 2023
(  6,  3, { 2, 2, 2, 2})            10           10             0.01   Nov 19, 2023
(  6,  3, { 4, 2, 2, 2})           124            5             0.04   Nov 14, 2023
(  6,  3, { 4, 4, 2, 2})           604            2             0.19   Nov 15, 2023
(  6,  3, { 4, 4, 4, 2})          1722            1             1.11   Nov 19, 2023
(  6,  3, { 4, 4, 4, 4})          2490            1             6.72   Nov 18, 2023
(  7,  3, { 1, 1})             2            2             0.00   Nov 14, 2023
(  7,  3, { 2, 1})            16            3             0.00   Nov 14, 2023
(  7,  3, { 2, 2})            42            3             0.00   Nov 14, 2023
(  7,  3, { 3, 1})            71            3             0.00   Nov 14, 2023
(  7,  3, { 3, 2})           640            7             0.04   Nov 15, 2023
(  7,  3, { 3, 3})          2432            2             0.29   Nov 19, 2023
(  7,  3, { 4, 1})           365            4             0.02   Nov 15, 2023
(  7,  3, { 4, 2})          4371            3             0.26   Nov 15, 2023
(  7,  3, { 4, 3})         43100            3             2.57   Nov 19, 2023
(  7,  3, { 4, 4})        164184            2            18.50   Nov 15, 2023
(  7,  3, { 5, 1})          1866            1             0.10   Nov 15, 2023
(  7,  3, { 5, 2})         25843            1             1.42   Nov 15, 2023
(  7,  3, { 5, 3})        270481            1            15.87   Nov 19, 2023
(  7,  3, { 5, 4})       2190521            1          2:09.00   Nov 15, 2023
(  7,  3, { 5, 5})       7110185            1         14:23.19   Nov 15, 2023
(  7,  3, { 6, 1})          9017            0             0.69   Nov 17, 2023
(  7,  3, { 6, 2})        132720            0             6.39   Nov 15, 2023
(  7,  3, { 6, 3})       1414517            0          2:03.55   Nov 15, 2023
(  7,  3, { 6, 4})      11516899            0         11:30.31   Nov 17, 2023
(  7,  3, { 6, 5})      74035731            0       1:37:53.30   Nov 17, 2023
(  7,  3, { 7, 1})         38688            0             2.26   Nov 17, 2023
(  7,  3, { 7, 2})        585004            0            30.12   Nov 15, 2023
(  7,  3, { 7, 3})       6295759            0          5:18.32   Nov 17, 2023
(  7,  3, { 7, 4})      51383328            0         36:01.36   Nov 15, 2023
(  7,  3, { 8, 1})        148015            0             8.22   Nov 17, 2023
(  7,  3, { 8, 2})       2265034            0          2:14.19   Nov 15, 2023
(  7,  3, { 8, 3})      24462920            0         19:19.59   Nov 17, 2023
(  7,  3, { 9, 1})        508313            0            24.55   Nov 17, 2023
(  7,  3, {10, 1})       1589117            0          1:21.60   Nov 15, 2023
(  7,  3, { 1, 1, 1})             5            5             0.00   Nov 14, 2023
(  7,  3, { 2, 1, 1})            89           20             0.01   Nov 14, 2023
(  7,  3, { 2, 2, 1})           655           32             0.12   Nov 15, 2023
(  7,  3, { 2, 2, 2})          2672           36             1.74   Nov 15, 2023
(  8,  4, { 3, 3})           704          704             0.15   Nov 15, 2023
(  8,  4, { 6, 3})      12885899       853810         10:50.34   Nov 17, 2023
(  8,  4, { 3, 3, 3})       1142503      1142503          7:06.00   Nov 17, 2023
(  9,  3, { 1, 1})             3            3             0.00   Nov 15, 2023
(  9,  3, { 2, 1})         10537         4560             2.35   Nov 15, 2023
(  9,  3, { 2, 2})      21915796      5214486       1:51:50.26   Nov 15, 2023
(  9,  3, { 3, 1})      18470338       250565         50:17.68   Nov 15, 2023
(  9,  3, { 1, 1, 1})            61           61             0.23   Nov 16, 2023
(  9,  3, { 2, 1, 1})       3954066      1586360         23:14.66   Nov 15, 2023
(  9,  3, { 1, 1, 1, 1})         22727        22727          2:03.21   Nov 16, 2023
(  9,  4, { 3, 3})       2955664      2955664         16:33.76   Nov 16, 2023
( 10,  4, { 2, 2})          8039         8039            11.66   Nov 15, 2023
