  Combined_BIBDs_MasterInfo:        Total #:   Simple #:        Run Time:      Date:       Comments:
(  6,  3, { 2, 2})             2           2             0.00   Sep 24, 2022
(  6,  3, { 4, 4})            24           1             0.01   Sep 24, 2022
(  6,  3, { 4, 2})            12           1             0.02   Sep 24, 2022
(  6,  3, { 2, 2, 2})             5           5             0.00   Sep 24, 2022
(  6,  3, { 4, 2, 2})            31           1             0.02   Sep 24, 2022
(  6,  3, { 4, 4, 2})           131           1             0.03   Sep 24, 2022
(  6,  3, { 2, 2, 2, 2})            10          10             0.02   Sep 24, 2022
(  6,  3, { 4, 2, 2, 2})            12           1             0.02   Sep 24, 2022
(  6,  3, { 4, 4, 2, 2})           482           1             0.17   Sep 24, 2022
(  6,  3, { 4, 4, 4, 2})          1722           1             0.65   Sep 24, 2022
(  6,  3, { 4, 4, 4, 4})          2490           1             2.16   Sep 24, 2022
(  7,  3, { 1, 1})             2           2             0.01   Sep 24, 2022
(  7,  3, { 2, 1})            16           3             0.02   Sep 24, 2022
(  7,  3, { 1, 1, 1})             5           5             0.00   Sep 24, 2022
(  7,  3, { 2, 1, 1})            54           8             0.02   Sep 24, 2022
(  7,  3, { 2, 2, 1})           607          31             0.13   Sep 24, 2022
(  7,  3, { 2, 2, 2})          2319          33             0.78   Sep 24, 2022
(  9,  3, { 1, 1})             3           3             0.02   Sep 10, 2022
(  9,  3, { 2, 1})          8039        3514             0.74   Sep 18, 2022
(  9,  3, { 1, 1, 1})            61          61             0.22   Jan 06, 2022
(  9,  3, { 2, 1, 1})       1013712      258581          4:36.17   Jan 06, 2022
(  9,  3, { 1, 1, 1, 1})         22727       22727          1:36.41   Jan 06, 2022
(  9,  3, { 2, 1, 1, 1})          8039        3514             6.68   Jan 06, 2022
(  9,  3, { 2, 1, 1, 1, 1})          8039        3514            23.12   Jan 06, 2022
(  9,  3, { 3, 1})      15574414      208362       1:40:24.04   Jan 06, 2022
(  9,  3, { 2, 2})      16407107     4068169       1:25:35.14   Jan 06, 2022
