

    1: |Aut(M)| =  110,  Cycles:66(4:20) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23 "
 "   0  3   1  2   4  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 23  21 22 "
 "   0  5   1  4   2  7   3 10   6  9   8 13  11 14  12 17  15 18  16 21  19 22  20 23 "
 "   0  7   1  6   2 11   3 20   4  9   5 22   8 17  10 19  12 23  13 18  14 21  15 16 "
 "   0  9   1  8   2  5   3 14   4 13   6 17   7 10  11 18  12 21  15 22  16 23  19 20 "
 "   0 11   1 10   2 15   3  4   5 12   6 19   7  8   9 16  13 20  14 23  17 22  18 21 "
 "   0 13   1 12   2  9   3 18   4 17   5 10   6 23   7 14   8 21  11 22  15 20  16 19 "
 "   0 15   1 14   2 19   3  8   4 11   5 16   6 21   7 12   9 20  10 23  13 22  17 18 "
 "   0 17   1 16   2 13   3 22   4 21   5 14   6 15   7 18   8 23   9 10  11 20  12 19 "
 "   0 19   1 18   2 23   3 12   4 15   5 20   6 13   7 16   8 11   9 22  10 21  14 17 "
 "   0 21   1 20   2 17   3  6   4 23   5 18   7 22   8 19   9 14  10 13  11 16  12 15 "
 "   0 23   1 22   2 21   3 16   4 19   5  6   7 20   8 15   9 18  10 17  11 12  13 14 "



    2: |Aut(M)| =  10,  Cycles:66(4:20) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23 "
 "   0  3   1  2   4  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 23  21 22 "
 "   0  5   1  4   2  7   3 10   6  9   8 13  11 14  12 17  15 18  16 21  19 22  20 23 "
 "   0  7   1  6   2 11   3 20   4  9   5 22   8 19  10 17  12 21  13 18  14 23  15 16 "
 "   0  9   1  8   2  5   3 14   4 13   6 19   7 10  11 16  12 23  15 20  17 22  18 21 "
 "   0 11   1 10   2 15   3  4   5 12   6 17   7  8   9 18  13 22  14 21  16 23  19 20 "
 "   0 13   1 12   2  9   3 18   4 17   5 10   6 21   7 14   8 23  11 20  15 22  16 19 "
 "   0 15   1 14   2 19   3  8   4 11   5 16   6 23   7 12   9 22  10 21  13 20  17 18 "
 "   0 17   1 16   2 13   3 22   4 21   5 14   6 15   7 18   8 11   9 20  10 23  12 19 "
 "   0 19   1 18   2 23   3 12   4 15   5 20   6 13   7 16   8 21   9 10  11 22  14 17 "
 "   0 21   1 20   2 17   3  6   4 23   5 18   7 22   8 15   9 16  10 19  11 12  13 14 "
 "   0 23   1 22   2 21   3 16   4 19   5  6   7 20   8 17   9 14  10 13  11 18  12 15 "

