

    1: |Aut(M)| =  2,  Cycles:105(16) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 15 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 14 "
 "   0  4   1  3   2  8   5 10   6 14   7 12   9 13  11 15 "
 "   0  5   1  2   3  9   4 11   6 13   7 15   8 12  10 14 "
 "   0  6   1 12   2  5   3 15   4 10   7  8   9 14  11 13 "
 "   0  7   1 13   2 14   3  4   5 11   6  9   8 15  10 12 "
 "   0  8   1  6   2 15   3 12   4  7   5 14   9 11  10 13 "
 "   0  9   1  7   2 13   3 14   4 15   5  6   8 10  11 12 "
 "   0 10   1  9   2  4   3  8   5 15   6 12   7 11  13 14 "
 "   0 11   1  8   2  9   3  5   4 14   6 10   7 13  12 15 "
 "   0 12   1 14   2  6   3 10   4 13   5  7   8 11   9 15 "
 "   0 13   1 15   2 11   3  7   4  6   5 12   8 14   9 10 "
 "   0 14   1 10   2 12   3 11   4  8   5 13   6 15   7  9 "
 "   0 15   1 11   2 10   3 13   4 12   5  9   6  8   7 14 "



    2: |Aut(M)| =  2,  Cycles:105(16) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 15 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 14 "
 "   0  4   1  3   2  8   5 12   6 10   7 15   9 11  13 14 "
 "   0  5   1  2   3  9   4 13   6 14   7 11   8 10  12 15 "
 "   0  6   1 12   2 11   3  8   4 15   5 13   7  9  10 14 "
 "   0  7   1 13   2  9   3 10   4 12   5 14   6  8  11 15 "
 "   0  8   1 11   2 15   3  5   4  6   7 13   9 14  10 12 "
 "   0  9   1 10   2  4   3 14   5  7   6 12   8 15  11 13 "
 "   0 10   1 15   2 14   3 12   4 11   5  6   7  8   9 13 "
 "   0 11   1 14   2 13   3 15   4  7   5 10   6  9   8 12 "
 "   0 12   1  8   2  6   3  4   5 11   7 14   9 15  10 13 "
 "   0 13   1  9   2  5   3  7   4 10   6 15   8 14  11 12 "
 "   0 14   1  7   2 12   3 11   4  8   5 15   6 13   9 10 "
 "   0 15   1  6   2 10   3 13   4 14   5  9   7 12   8 11 "



    3: |Aut(M)| =  2,  Cycles:105(16) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 15 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 14 "
 "   0  4   1  3   2  8   5 13   6 14   7 11   9 10  12 15 "
 "   0  5   1  2   3  9   4 12   6 10   7 15   8 11  13 14 "
 "   0  6   1 12   2 15   3  5   4 11   7  9   8 14  10 13 "
 "   0  7   1 13   2  4   3 14   5 10   6  8   9 15  11 12 "
 "   0  8   1 11   2 12   3 15   4 10   5 14   6  9   7 13 "
 "   0  9   1 10   2 14   3 13   4 15   5 11   6 12   7  8 "
 "   0 10   1  6   2 13   3  8   4  7   5 12   9 14  11 15 "
 "   0 11   1  7   2  9   3 12   4 13   5  6   8 15  10 14 "
 "   0 12   1 14   2 11   3  7   4  6   5 15   8 10   9 13 "
 "   0 13   1 15   2  6   3 10   4 14   5  7   8 12   9 11 "
 "   0 14   1  8   2 10   3  4   5  9   6 15   7 12  11 13 "
 "   0 15   1  9   2  5   3 11   4  8   6 13   7 14  10 12 "



    4: |Aut(M)| =  2,  Cycles:105(16) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15 "
 "   0  2   1  4   3  6   5  8   7 10   9 12  11 14  13 15 "
 "   0  3   1  5   2  7   4  9   6 11   8 13  10 15  12 14 "
 "   0  4   1  3   2  8   5 14   6 10   7 15   9 13  11 12 "
 "   0  5   1  2   3  9   4 15   6 14   7 11   8 12  10 13 "
 "   0  6   1 12   2  4   3 15   5  7   8 14   9 10  11 13 "
 "   0  7   1 13   2 14   3  5   4  6   8 11   9 15  10 12 "
 "   0  8   1 15   2 13   3 10   4 14   5  6   7 12   9 11 "
 "   0  9   1 14   2 11   3 12   4  7   5 15   6 13   8 10 "
 "   0 10   1  7   2 12   3 14   4 13   5  9   6  8  11 15 "
 "   0 11   1  6   2 15   3 13   4  8   5 12   7  9  10 14 "
 "   0 12   1 11   2  5   3  7   4 10   6  9   8 15  13 14 "
 "   0 13   1 10   2  6   3  4   5 11   7  8   9 14  12 15 "
 "   0 14   1  8   2  9   3 11   4 12   5 10   6 15   7 13 "
 "   0 15   1  9   2 10   3  8   4 11   5 13   6 12   7 14 "

