

    1: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  5   3 10   4 13   6 15   9 16  11 20  12 19  14 21  17 18 "
 "   0  9   1 12   2 11   3 20   4 21   5  6   7 14   8 17  10 19  13 18  15 16 "
 "   0 11   1 18   2 17   3 14   4 15   5 12   6 21   7  8   9 10  13 20  16 19 "
 "   0 13   1 10   2 15   3 12   4 19   5 20   6  9   7 16   8 21  11 18  14 17 "
 "   0 15   1 20   2 21   3  8   4  7   5 16   6 19   9 18  10 17  11 12  13 14 "
 "   0 17   1  6   2 13   3  4   5 18   7 12   8 19   9 14  10 21  11 16  15 20 "
 "   0 19   1 16   2  9   3 18   4 11   5 14   6 17   7 20   8 15  10 13  12 21 "
 "   0 21   1 14   2 19   3 16   4 17   5 10   6 13   7 18   8 11   9 20  12 15 "



    2: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  5   3 12   4 19   6 15   9 16  10 17  11 18  13 20  14 21 "
 "   0  9   1 12   2 15   3 20   4 11   5 18   6 13   7 14   8 17  10 21  16 19 "
 "   0 11   1 18   2 19   3 16   4 17   5  6   7 20   8 15   9 10  12 21  13 14 "
 "   0 13   1 14   2  9   3  4   5 10   6 21   7 16   8 19  11 12  15 20  17 18 "
 "   0 15   1 10   2 17   3 14   4 13   5 16   6  9   7 18   8 21  11 20  12 19 "
 "   0 17   1  6   2 13   3 18   4 21   5 14   7 12   8 11   9 20  10 19  15 16 "
 "   0 19   1 20   2 21   3 10   4 15   5 12   6 17   7  8   9 14  11 16  13 18 "
 "   0 21   1 16   2 11   3  8   4  7   5 20   6 19   9 18  10 13  12 15  14 17 "



    3: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  9   3 10   4 15   5 20   6 21  11 16  12 19  13 14  17 18 "
 "   0  9   1 12   2 11   3  8   4  7   5 14   6 17  10 21  13 18  15 20  16 19 "
 "   0 11   1 18   2 17   3 20   4 19   5 12   6 13   7 14   8 21   9 10  15 16 "
 "   0 13   1 14   2  5   3 18   4 17   6  9   7 16   8 15  10 19  11 20  12 21 "
 "   0 15   1  6   2 21   3 12   4 13   5 10   7 20   8 19   9 16  11 18  14 17 "
 "   0 17   1 20   2 15   3 16   4 21   5 18   6 19   7 12   8 11   9 14  10 13 "
 "   0 19   1 10   2 13   3  4   5 16   6 15   7 18   8 17   9 20  11 12  14 21 "
 "   0 21   1 16   2 19   3 14   4 11   5  6   7  8   9 18  10 17  12 15  13 20 "



    4: |Aut(M)| =  2,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  9   3 16   4 15   5  6  10 13  11 20  12 19  14 21  17 18 "
 "   0  9   1 12   2  5   3 20   4  7   6 13   8 15  10 21  11 18  14 17  16 19 "
 "   0 11   1 18   2 19   3  4   5 12   6 15   7 16   8 21   9 14  10 17  13 20 "
 "   0 13   1 20   2 21   3 14   4 11   5 18   6 19   7 12   8 17   9 10  15 16 "
 "   0 15   1 16   2 11   3 12   4 17   5 20   6 21   7  8   9 18  10 19  13 14 "
 "   0 17   1  6   2 13   3 18   4 21   5 10   7 14   8 19   9 20  11 16  12 15 "
 "   0 19   1 14   2 17   3 10   4 13   5 16   6  9   7 18   8 11  12 21  15 20 "
 "   0 21   1 10   2 15   3  8   4 19   5 14   6 17   7 20   9 16  11 12  13 18 "



    5: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  9   3 16   4 17   5 18   6 15  10 19  11 12  13 20  14 21 "
 "   0  9   1 12   2 13   3 18   4  7   5 14   6 21   8 15  10 17  11 20  16 19 "
 "   0 11   1 18   2 17   3  4   5 12   6 19   7 16   8 21   9 10  13 14  15 20 "
 "   0 13   1 20   2 15   3 10   4 21   5 16   6 17   7 14   8 11   9 18  12 19 "
 "   0 15   1  6   2 21   3  8   4 19   5 20   7 12   9 16  10 13  11 18  14 17 "
 "   0 17   1 10   2 19   3 14   4 11   5  6   7  8   9 20  12 21  13 18  15 16 "
 "   0 19   1 14   2  5   3 20   4 13   6  9   7 18   8 17  10 21  11 16  12 15 "
 "   0 21   1 16   2 11   3 12   4 15   5 10   6 13   7 20   8 19   9 14  17 18 "



    6: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  9   3 18   4 21   5 16   6 17  10 19  11 12  13 14  15 20 "
 "   0  9   1 12   2 21   3 14   4 17   5 10   6 13   7 20   8 19  11 18  15 16 "
 "   0 11   1 18   2 17   3  4   5 20   6 19   7 14   8 15   9 16  10 13  12 21 "
 "   0 13   1  6   2  5   3 20   4 19   7 16   8 11   9 18  10 17  12 15  14 21 "
 "   0 15   1 16   2 11   3  8   4  7   5 14   6  9  10 21  12 19  13 20  17 18 "
 "   0 17   1 10   2 15   3 12   4 13   5 18   6 21   7  8   9 14  11 20  16 19 "
 "   0 19   1 20   2 13   3 16   4 11   5 12   6 15   7 18   8 21   9 10  14 17 "
 "   0 21   1 14   2 19   3 10   4 15   5  6   7 12   8 17   9 20  11 16  13 18 "



    7: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2  9   3 20   4 21   5 14   6 13  10 17  11 18  12 19  15 16 "
 "   0  9   1 12   2 11   3  8   4 19   5 10   6 15   7 16  13 20  14 21  17 18 "
 "   0 11   1 18   2 21   3 16   4 13   5 20   6 19   7 12   8 15   9 10  14 17 "
 "   0 13   1 16   2 19   3 10   4  7   5 18   6 17   8 11   9 14  12 21  15 20 "
 "   0 15   1  6   2 17   3  4   5 12   7 18   8 21   9 16  10 19  11 20  13 14 "
 "   0 17   1 14   2 13   3 18   4 15   5  6   7  8   9 20  10 21  11 12  16 19 "
 "   0 19   1 20   2 15   3 12   4 11   5 16   6 21   7 14   8 17   9 18  10 13 "
 "   0 21   1 10   2  5   3 14   4 17   6  9   7 20   8 19  11 16  12 15  13 18 "



    8: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2 11   3 12   4 21   5 14   6 15   9 18  10 17  13 20  16 19 "
 "   0  9   1 12   2 19   3 14   4 15   5 16   6 17   7 20   8 21  10 13  11 18 "
 "   0 11   1 18   2  5   3 20   4  7   6  9   8 17  10 21  12 19  13 14  15 16 "
 "   0 13   1 20   2 17   3  8   4 19   5 10   6 21   7 18   9 14  11 16  12 15 "
 "   0 15   1 16   2  9   3  4   5 20   6 13   7  8  10 19  11 12  14 21  17 18 "
 "   0 17   1 14   2 15   3 18   4 13   5  6   7 16   8 19   9 10  11 20  12 21 "
 "   0 19   1  6   2 21   3 10   4 17   5 12   7 14   8 11   9 16  13 18  15 20 "
 "   0 21   1 10   2 13   3 16   4 11   5 18   6 19   7 12   8 15   9 20  14 17 "



    9: |Aut(M)| =  1,  Cycles:55(22) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  7   5  8   6 11   9 12  10 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  2   3  6   4  9   7 10   8 13  11 14  12 17  15 18  16 21  19 20 "
 "   0  7   1  8   2 17   3 14   4 15   5 18   6 21   9 16  10 13  11 20  12 19 "
 "   0  9   1 12   2  5   3 16   4 19   6 15   7 20   8 11  10 21  13 18  14 17 "
 "   0 11   1 18   2  9   3  4   5 20   6 13   7 14   8 19  10 17  12 21  15 16 "
 "   0 13   1 16   2 19   3  8   4  7   5 10   6 17   9 20  11 18  12 15  14 21 "
 "   0 15   1 20   2 21   3 18   4 11   5 12   6 19   7 16   8 17   9 10  13 14 "
 "   0 17   1 10   2 11   3 12   4 13   5 14   6  9   7 18   8 21  15 20  16 19 "
 "   0 19   1  6   2 15   3 10   4 21   5 16   7  8   9 14  11 12  13 20  17 18 "
 "   0 21   1 14   2 13   3 20   4 17   5  6   7 12   8 15   9 18  10 19  11 16 "

