    1: 
Automorphisms of matrix with |Aut(M)| = 28
 "    0   1    2   3    4   5    6   7    8   9   10  11   12  13
 "    0   2    1   4    3   6    5   8    7  10    9  12   11  13
 "    1   0    4   5    2   3    8   9    6   7   12  13   10  11
 "    1   4    0   2    5   8    3   6    9  12    7  10   13  11
 "    2   0    3   6    1   4    7  10    5   8   11  13    9  12
 "    2   3    0   1    6   7    4   5   10  11    8   9   13  12
 "    3   2    6   7    0   1   10  11    4   5   13  12    8   9
 "    3   6    2   0    7  10    1   4   11  13    5   8   12   9
 "    4   1    5   8    0   2    9  12    3   6   13  11    7  10
 "    4   5    1   0    8   9    2   3   12  13    6   7   11  10
 "    5   4    8   9    1   0   12  13    2   3   11  10    6   7
 "    5   8    4   1    9  12    0   2   13  11    3   6   10   7
 "    6   3    7  10    2   0   11  13    1   4   12   9    5   8
 "    6   7    3   2   10  11    0   1   13  12    4   5    9   8
 "    7   6   10  11    3   2   13  12    0   1    9   8    4   5
 "    7  10    6   3   11  13    2   0   12   9    1   4    8   5
 "    8   5    9  12    4   1   13  11    0   2   10   7    3   6
 "    8   9    5   4   12  13    1   0   11  10    2   3    7   6
 "    9   8   12  13    5   4   11  10    1   0    7   6    2   3
 "    9  12    8   5   13  11    4   1   10   7    0   2    6   3
 "   10   7   11  13    6   3   12   9    2   0    8   5    1   4
 "   10  11    7   6   13  12    3   2    9   8    0   1    5   4
 "   11  10   13  12    7   6    9   8    3   2    5   4    0   1
 "   11  13   10   7   12   9    6   3    8   5    2   0    4   1
 "   12   9   13  11    8   5   10   7    4   1    6   3    0   2
 "   12  13    9   8   11  10    5   4    7   6    1   0    3   2
 "   13  11   12   9   10   7    8   5    6   3    4   1    2   0
 "   13  12   11  10    9   8    7   6    5   4    3   2    1   0
