

    1: |Aut(M)| =  110,  Cycles:55(6:6:10) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21 "
 "   0  3   1  4   2  5   6  9   7 10   8 11  12 15  13 16  14 19  17 20  18 21 "
 "   0  5   1  6   2 13   3 16   4 21   7  8   9 20  10 19  11 14  12 17  15 18 "
 "   0  7   1 10   2 21   3  6   4 15   5 16   8 19   9 12  11 20  13 18  14 17 "
 "   0  9   1 16   2 11   3 14   4  7   5 18   6 19   8 17  10 13  12 21  15 20 "
 "   0 11   1 14   2  7   3 12   4 17   5  8   6 13   9 18  10 15  16 21  19 20 "
 "   0 13   1 18   2  9   3 10   4 11   5 20   6 17   7 14   8 21  12 19  15 16 "
 "   0 15   1  8   2 19   3 20   4 13   5  6   7 12   9 14  10 21  11 16  17 18 "
 "   0 17   1 20   2 15   3  4   5 14   6 21   7 18   8 13   9 10  11 12  16 19 "
 "   0 19   1  2   3 18   4  9   5 12   6 11   7 16   8 15  10 17  13 20  14 21 "
 "   0 21   1 12   2 17   3  8   4 19   5 10   6 15   7 20   9 16  11 18  13 14 "

