

    1: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3 14   4 17   8 19   9 10  11 22  12 25  13 20  15 16  18 23  21 24 "
 "   0  7   1  8   2 15   3 12   4  9   5 16   6 23  10 25  11 20  13 14  17 22  18 21  19 24 "
 "   0  9   1 10   2 17   3 20   4 23   5 12   6 25   7 18   8 21  11 16  13 22  14 19  15 24 "
 "   0 11   1 12   2 13   3 10   4  7   5 18   6 15   8 17   9 24  14 23  16 25  19 20  21 22 "
 "   0 13   1 18   2  9   3 16   4 19   5 14   6 17   7  8  10 23  11 24  12 21  15 20  22 25 "
 "   0 15   1 16   2 19   3  8   4 25   5  6   7 24   9 22  10 13  11 18  12 23  14 21  17 20 "



    2: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3 14   4 17   8 19   9 10  11 22  12 25  13 20  15 16  18 23  21 24 "
 "   0  7   1  8   2 17   3 24   4 11   5 22   6 13   9 12  10 15  14 19  16 25  18 21  20 23 "
 "   0  9   1 22   2 21   3 10   4 25   5 18   6 15   7 16   8 17  11 20  12 19  13 24  14 23 "
 "   0 11   1 20   2 19   3  6   4 15   5 10   7 24   8 21   9 14  12 17  13 22  16 23  18 25 "
 "   0 13   1  2   3 22   4 23   5 14   6 11   7 20   8 25   9 18  10 21  12 15  16 19  17 24 "
 "   0 15   1 10   2 23   3 16   4 21   5 12   6 19   7  8   9 20  11 24  13 18  14 25  17 22 "



    3: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3 14   4 17   8 19   9 10  11 22  12 25  13 20  15 16  18 23  21 24 "
 "   0  7   1 20   2 17   3  8   4 19   5 24   6 11   9 22  10 13  12 15  14 21  16 23  18 25 "
 "   0  9   1 24   2 19   3 20   4 21   5 18   6 17   7 12   8 23  10 25  11 14  13 16  15 22 "
 "   0 11   1  8   2 21   3 22   4  7   5 14   6 15   9 20  10 23  12 19  13 24  16 25  17 18 "
 "   0 13   1 10   2 15   3 24   4 23   5 16   6 19   7 20   8 25   9 14  11 18  12 21  17 22 "
 "   0 15   1 18   2  9   3  4   5 10   6 21   7 16   8 11  12 23  13 14  17 20  19 24  22 25 "



    4: |Aut(M)| =  1,  Cycles:28(6:8:12) 
 "   0  1   2  3   4  5   6  7   8  9  10 11  12 13  14 15  16 17  18 19  20 21  22 23  24 25 "
 "   0  3   1  4   2  5   6  9   7 10   8 13  11 12  14 17  15 18  16 21  19 22  20 25  23 24 "
 "   0  5   1  6   2  7   3 14   4 17   8 19   9 10  11 22  12 25  13 20  15 16  18 23  21 24 "
 "   0  7   1 22   2 11   3 12   4 13   5 10   6 15   8 25   9 16  14 19  17 24  18 21  20 23 "
 "   0  9   1 20   2 17   3 24   4 21   5  8   6 11   7 18  10 19  12 23  13 16  14 25  15 22 "
 "   0 11   1  2   3 16   4 23   5 20   6 13   7 24   8 17   9 14  10 15  12 19  18 25  21 22 "
 "   0 13   1 14   2 23   3 10   4 25   5 16   6 19   7  8   9 18  11 24  12 21  15 20  17 22 "
 "   0 15   1 16   2 21   3  8   4 11   5 12   6 17   7 14   9 20  10 23  13 18  19 24  22 25 "

