    1: 
Automorphisms of matrix with |Aut(M)| = 32
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   15  16  17   18  19  20   21  22  23   24  25  26
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   15  16  17   18  19  20   24  25  26   21  22  23
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   18  19  20   15  16  17   21  23  22   24  26  25
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   18  19  20   15  16  17   24  26  25   21  23  22
 "    1   0   2    4   3   5    7   6   8    9  10  11   12  13  14   15  16  17   18  19  20   21  22  23   24  25  26
 "    1   0   2    4   3   5    7   6   8    9  10  11   12  13  14   15  16  17   18  19  20   24  25  26   21  22  23
 "    1   0   2    4   3   5    7   6   8    9  10  11   12  13  14   18  19  20   15  16  17   21  23  22   24  26  25
 "    1   0   2    4   3   5    7   6   8    9  10  11   12  13  14   18  19  20   15  16  17   24  26  25   21  23  22
 "    3   4   5    0   1   2    6   7   8   10   9  11   13  12  14   15  16  17   18  19  20   21  22  23   24  25  26
 "    3   4   5    0   1   2    6   7   8   10   9  11   13  12  14   15  16  17   18  19  20   24  25  26   21  22  23
 "    3   4   5    0   1   2    6   7   8   10   9  11   13  12  14   18  19  20   15  16  17   21  23  22   24  26  25
 "    3   4   5    0   1   2    6   7   8   10   9  11   13  12  14   18  19  20   15  16  17   24  26  25   21  23  22
 "    4   3   5    1   0   2    7   6   8   10   9  11   13  12  14   15  16  17   18  19  20   21  22  23   24  25  26
 "    4   3   5    1   0   2    7   6   8   10   9  11   13  12  14   15  16  17   18  19  20   24  25  26   21  22  23
 "    4   3   5    1   0   2    7   6   8   10   9  11   13  12  14   18  19  20   15  16  17   21  23  22   24  26  25
 "    4   3   5    1   0   2    7   6   8   10   9  11   13  12  14   18  19  20   15  16  17   24  26  25   21  23  22
 "   22  25  17   23  26  20   21  24  14   16  19  11   15  18   8   12   9   2   13  10   5    6   0   3    7   1   4
 "   22  25  17   23  26  20   21  24  14   16  19  11   15  18   8   12   9   2   13  10   5    7   1   4    6   0   3
 "   22  25  17   23  26  20   21  24  14   16  19  11   15  18   8   13  10   5   12   9   2    6   3   0    7   4   1
 "   22  25  17   23  26  20   21  24  14   16  19  11   15  18   8   13  10   5   12   9   2    7   4   1    6   3   0
 "   23  26  20   22  25  17   21  24  14   19  16  11   18  15   8   12   9   2   13  10   5    6   0   3    7   1   4
 "   23  26  20   22  25  17   21  24  14   19  16  11   18  15   8   12   9   2   13  10   5    7   1   4    6   0   3
 "   23  26  20   22  25  17   21  24  14   19  16  11   18  15   8   13  10   5   12   9   2    6   3   0    7   4   1
 "   23  26  20   22  25  17   21  24  14   19  16  11   18  15   8   13  10   5   12   9   2    7   4   1    6   3   0
 "   25  22  17   26  23  20   24  21  14   16  19  11   15  18   8   12   9   2   13  10   5    6   0   3    7   1   4
 "   25  22  17   26  23  20   24  21  14   16  19  11   15  18   8   12   9   2   13  10   5    7   1   4    6   0   3
 "   25  22  17   26  23  20   24  21  14   16  19  11   15  18   8   13  10   5   12   9   2    6   3   0    7   4   1
 "   25  22  17   26  23  20   24  21  14   16  19  11   15  18   8   13  10   5   12   9   2    7   4   1    6   3   0
 "   26  23  20   25  22  17   24  21  14   19  16  11   18  15   8   12   9   2   13  10   5    6   0   3    7   1   4
 "   26  23  20   25  22  17   24  21  14   19  16  11   18  15   8   12   9   2   13  10   5    7   1   4    6   0   3
 "   26  23  20   25  22  17   24  21  14   19  16  11   18  15   8   13  10   5   12   9   2    6   3   0    7   4   1
 "   26  23  20   25  22  17   24  21  14   19  16  11   18  15   8   13  10   5   12   9   2    7   4   1    6   3   0
    2: 
Automorphisms of matrix with |Aut(M)| = 64
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   15  16  17   18  19  20   21  22  23   24  25  26
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   15  17  16   18  20  19   24  25  26   21  22  23
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   18  19  20   15  16  17   21  22  23   24  25  26
 "    0   1   2    3   4   5    6   7   8    9  10  11   12  13  14   18  20  19   15  17  16   24  25  26   21  22  23
 "    0   1   2    3   4   5    6   7   8   12  13  14    9  10  11   15  16  17   18  19  20   22  21  23   25  24  26
 "    0   1   2    3   4   5    6   7   8   12  13  14    9  10  11   15  17  16   18  20  19   25  24  26   22  21  23
 "    0   1   2    3   4   5    6   7   8   12  13  14    9  10  11   18  19  20   15  16  17   22  21  23   25  24  26
 "    0   1   2    3   4   5    6   7   8   12  13  14    9  10  11   18  20  19   15  17  16   25  24  26   22  21  23
